IDJwb,IDPSJ,questions,answerKeys,answer,raw_grade,max_grade,grade,labela,label
549,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ","1. Menggunakan magnet: serbuk besi memiliki sifat magnetis, jadi magnet dapat memisahkan besi dari pasir dan garam.; 2. Penyerapan: air dan garam dilarutkan di dalam air.; 3. Filtrasi: menggunakan corong kecil untuk memisahkan pasir dan air garam.; 4. Rekristalisasi: melakukan pemanasan secara perlahan agar air garam dapat menguap dan kembali jadi garam.",43,50,8.6,A,5
550,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ","1. Pertama tama kita larutkan terlebih dahulu campuran garam, pasir dan serbuk besi; 2. Kemudian pisahkan garam dari larutan tersebut dengan cara destilasi. dengan memanaskan larutan.; 3. Uap yang dihasilkan pada saat destilasi akan mengkristal. Hasil dari kristalisasi tersebutlah garam yang telah dipisahkan dari pasir dan serbuk besi; 4. Lalu, untuk memisahkan pasir dan sebuk besi, menggunakan penyaringan. Pasir dan serbuk besi memiliki ukuran komponen yang berbeda jadi menggunakan teknik filtrasi ( penyaringan ); 5. Apabila masih ditemukan pasir pada tahap penyaringan pasir dan serbuk besi, maka digunakan magnet untuk mengangkat dan memisahkan serbuk besi dari pasir. Serbuk besi memiliki sifat magnetik, jadi dapat ditarik oleh magnet",45,50,9,A,5
551,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ","1. Magnet; tahap yang pertama itu magnet yaitu digunakan untuk memisahkan serbuk besi dengan cara menaruh magnet di atas campuran dan sehingga serbuk besi akan keangkat dan ketarik oleh magnet; ; 2. Penyaringan; tahan yang kedua yaitu penyaringan dengan cara menuangkan pasir dan garam ke dalam saringan, sebelum di tuang saringan bagian bawahnya di lapiskan dengan kain kasa sehingga ketika di saring yang jatuh hanya garam dan pasir akan di atas kain kasa; ; 3. Evaporasi; tahap yang terakhir yaitu evaporasi, garam yang telah disaring di letakkan dalam wadah lalu di beri air sedikit dan ditutup. lalu ditunggu untuk beberapa hari dan jadilah garam dalam bentuk butir butiran",35,50,7,B,4
552,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ","cara untuk memisahkan serbuk besi, pasir dan garam adalah dengan cara; 1. gunakan magnet untuk mengambil/memisahkan serbuk besi dari pasir dan garam; 2. gunakan cara filterasi/penyaringan untuk memisahkan pasir dari serbuk besi dan garam; 3. gunakan cara evaporasi/pengupan untuk memisahkan garam dari pasir dan serbuk besi.",35,50,7,B,4
553,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ","tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah adalah yang pertama menggunakan magnet sehingga serbuk besi dapat dipisahkan dari pasir dan garam, yang kedua menggunakan air sehingga pasir dapat terpisah dari garam",40,50,8,B,4
554,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ",-mendekatkan magnet ke pasir dapat memisahkan serbuk besi dengan pasir; - memisahkan garam dengan pasir menggunakan air lalu dicampur garam lalu dipisahkan dengan cara disaring,45,50,9,A,5
555,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ",Tahap-tahapan nya antara lain :; 1) Langkah pertama adalah PELARUTAN; 2) Kemudian� DESTILASI (PENGUAPAN) untuk� mengambil serbuk; � � garam; 3) Setelah itu melakukan proses KRISTALISASI; 4) Selanjutnya melalui proses FILTRASI; 5) Yang terakhir yaitu PEMISAHAN MAGNETIK,45,50,9,A,5
556,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ","1. Magnetis untuk mengambil serbuk besi dari pasir dan garam; 2. Pasir dan garam diberi air lalu disaring (filtrasi) sehingga larutan terpisah; 3. Evaporasi, air menguap dan garam mengkristal",50,50,10,A,5
557,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ",Magnetis dapat memisahkan serbuk besi; Dekantasi > larutan garam & pasir > pasir; Evaporasi & kristalisasi > garam,40,50,8,B,4
558,10,"Jelaskan tahapan untuk memisahkan suatu campuran yang terdiri serbuk besi, pasir dan garam sehingga didapatkan besi, pasir dan garam yang terpisah!!","""Tahapan untuk memisahkan campuran serbuk besi, pasir, dan garam:;  1. Magnetis: Untuk memisahkan besi dari garam dan pasir.;  2. Filtrasi: Pasir dan garam diberi air lalu disaring untuk memisahkan pasir dari garam.;  3. Evaporasi: Larutan garam akan dipanaskan sehingga air pada larutan garam menguap dan garam akan mengkristal.""        ",Pelarutan; Filtrasi; Kristalisasi; Penyaringan; Endapan; Pemisahan magnetik,40,50,8,B,4
